Restaurant_ID;Restaurant_Name;Kategorie;Beschreibung;Öffnet_Mittags;Schließt_Mittags;Öffnet_Abends;Schließt_Abends;Öffnungstage;Preiskategorie;Bewertung;Adresse;Telefon;Website;;;Tage;Preiskategorie;Bewertung
1;HA TIEN;Asiatisch;Unsere pan-asiatische Speisekarte umfasst nicht nur chinesische oder thailändische Speisen, auch vietnamesische Köstlichkeiten bieten wir dir in einer reichen Auswahl an. Traditionelle Gerichte werden bei uns in modernem Gewand präsentiert. Und neben den Klassikern kannst du bei uns auch exotische Speisen probieren.;11:30:00;14:30:00;17:00:00;21:00:00;Mo, Di, Mi, Do, Fr, Sa;1;4,7;Kohlenmarkt 1, 93047 Regensburg;0941 53888;https://hatien-regensburg.de/;;;;;
2;Namaste;Asiatisch;Mit unseren Speisen bieten wir Ihnen eine Auswahl an Gerichten aus ganz Indien, die sich in der Verwendung von Zutaten und Gewürzen so nah wie möglich an die originalen indischen Rezepte halten. Erleben sie die Vielfalt der indischen Küche hautnah.;11:30:00;14:30:00;17:00:00;22:30:00;Mo, Di, Mi, Do, Fr, Sa, So;2;4,5;"Schikaneder Str. 2a im Posthof
93053 Regensburg";0941 708626;https://www.namaste-regensburg.de/;;;;;
3;Sam Kullman's Diner;Amerikanisch;"Gerade durch die zeitlose und unaufgeregte Atmosphäre fühlen sich Gäste aller Alters- und gesellschaftlichen Klassen wohl bei Kullman’s. Man könnte auch sagen, Kullman’s Diner sind die neuen Nachbarschaftslokale für jedermann.

Das große und abwechslungsreiche Angebot an frischen und leckeren Angeboten zum Frühstück, Lunch und Abendessen sind weitere angenehme und gute Argumente für einen entspannten Besuch bei Kullman’s.";12:30:00;durchgehend geöffnet ;durchgehend geöffnet ;22:30:00;Mo, Di, Mi, Do, Fr, Sa, So;2;4,2;Friedenstraße 10, 93053 Regensburg;0941 6309833;https://www.kullmans.de/;;;;;
4;Hans im Glück;Amerikanisch;"Eine entspannte Atmosphäre, nette Menschen, einen einfach außergewöhnlichen Ort. Leckeres Essen für Veganer und Vegetarier sowie alle Fleischgenießer. Immer frische Zutaten und beste Qualität. Sympathische Gastgeber, die für Dich da sind.
Einen Moment für Dich oder mit Freunden.
Glück braucht nicht viel.
Glück braucht nur das Richtige. 
Herzlich willkommen bei HANS IM GLÜCK.";11:30:00;durchgehend geöffnet ;durchgehend geöffnet ;22:00:00;Mo, Di, Mi, Do, Fr, Sa, So;2;4,3;Kohlenmarkt 6, 93047 Regensburg;0941 38219591;https://hansimglueck-burgergrill.de/standort/regensburg-innenstadt/;;;;;
5;Der Grieche am Herzogshof;Griechisch;"____ _____
GUTEN APPETIT
Wir bieten Ihnen ein reichhaltiges Angebot an griechischen Spezialitäten";geschlossen;geschlossen;17:30:00;22:00:00;Mo, Mi, Do, Fr, Sa, So;2;4,7;Alter Kornmarkt 1, 93047 Regensburg;0941 5999303;https://dergrieche-regensburg.de/;;;;;
6;Akropolis;Griechisch;"Wir möchten Sie herzlich in unserem Restaurant ""Akropolis"" in Regensburg begrüßen. Genießen Sie in einem angenehmen Ambiente unsere Kreationen.";11:30:00;14:30:00;17:30:00;22:00:00;Di, Mi, Do, Fr, Sa, So;2;4,4;Leublfingstraße 9, 93053 Regensburg;0941 78529955;http://akropolis-regensburg.com/;;;;;
7;L’Osteria;Italienisch;In der Nähe des Doms, umgeben von zahlreichen kleinen Geschäften, liegt die L'Osteria Regensburg. Dort gibt es riesen Pizza in einer einzigartigen Atmosphäre. Aber in der L'Osteria Regensburg servieren wir nicht nur Pizza, sondern auch zahlreiche andere Klassiker der italienischen Küche wie Antipasti, Vitello Tonnato, verschiedene Salate oder Pasta. Lust auf etwas Süßes? Wie wäre es mit Tiramisù, einem Panna Cotta oder einer anderen italienischen Nachspeise? Unsere Pizza ist mit ihren 45cm Durchmessern wirklich riesig, darum servieren wir die Pizza auch gerne mit zwei unterschiedlich belegten Hälften zum Teilen. Wir legen nicht nur viel Wert auf die Qualität unserer Speisen, sondern auch darauf, dass sich in unserem Restaurant alle wohlfühlen. Für die Kleinsten gibt es eine Wickelmöglichkeit. Die etwas Größeren können sich in der L'Osteria Regensburg mit Mama oder Papa eine Pizza teilen oder eine kleine Portion Pasta genießen.;11:00:00;durchgehend geöffnet ;durchgehend geöffnet ;22:30:00;Mo, Di, Mi, Do, Fr, Sa, So;2;4,4;Watmarkt 1, 93047 Regensburg;0941 5999181;https://losteria.net/de/restaurants/restaurant/regensburg/;;;;;
8;Pizzeria Amore, Vino & Amici;Italienisch;"AMORE, PIZZA & PASTA
Unsere Eltern stammen aus Sizilien. Als sie vor 50 Jahren nach Regensburg kamen, war italienisches Essen noch eine exotische Erinnerung an den letzten Urlaub. Auch heute noch kann der Besuch in einem italienischen Restaurant Urlaubsgefühl vermitteln. Messina; die Hitze eines Sommertages legt sich. Vor dir duftet eine Bistecca alla Pizzaiola nach feinsaurer Tomate und deftigen Kapern. Du tunkst das warme Brot in die Sauce und bist fern von deiner Heimat.

Wir versuchen die Küche unserer Eltern zu bewahren und euch das Ganze in einem modernen Kleid zu präsentieren. Hausgemachte Pasta, ausgefallene Pizza, frische Fische von der Tageskarte und klassisch italienische Fleischgerichte. Kein Chi chi. Nur ursprüngliche sizilianische Küche und ihr ehrlicher Geschmack.";geschlossen;geschlossen;17:00:00;22:00:00;Di, Mi, Do, Fr, Sa, So;3;4,5;Hinter d. Grieb 8, 93047 Regensburg;0941 93081525;https://www.amore-vino-amici.de/;;;;;
9;Weltenburger am Dom;Bayerisch;"Im Herzen der Regensburger Altstadt
direkt am Dom
Aus deftigen Rezepten werden kulinarische Genüsse. Unsere Bayerischen Schmankerl und regionale Spezialitäten finden Sie in unserer Speisekarte. 

Frisch vom Schank servieren wir Ihnen Weltenburger Bierspezialitäten 
der ältesten Klosterbrauerei der Welt.";geschlossen;geschlossen;17:00:00;22:00:00;Mo, Di, Mi, Do, Fr, Sa, So;3;4,5;Domplatz 3, 93047 Regensburg; 0941 5861460;https://www.weltenburger-am-dom.de/;;;;;
10;Alte Linde;Bayerisch;"Regionale Lieferanten, ein Zeichen für Qualität
Sehr geehrte Gäste,

wir bemühen uns, unsere Lebensmittel von Oberpfälzer Lieferanten mit Blick auf Tierwohl, Nachhaltigkeit und Regionalität zu beziehen.

Hier eine kleine Auswahl:

• frischer Fisch vom Fischhof Mulzer

• Geflügel aus Weidehaltung von Mulzer

• Gemüsebau Graf in Winzer

• Metzgerei Kain in der Regensburger Altstadt

• Fleischwaren von FleiWa aus Wald

• Brauerei Kneitinger im Herzen der Altstadt";geschlossen;geschlossen;15:00:00;22:00:00;Mo, Di, Mi, Do, Fr, Sa, So;2;4,3;Müllerstraße 1, 93059 Regensburg;0941 88080;http://www.altelinde-regensburg.de/;;;;;
